n,var,Percentage
3,0.0,0.0
3,0.2,0.1
3,0.4,0.1
3,0.6,0.2
3,0.8,0.8
3,1.0,1.6
4,0.0,0.0
4,0.2,0.2
4,0.4,1.4000000000000001
4,0.6,1.8
4,0.8,2.1
4,1.0,2.9000000000000004
5,0.0,0.0
5,0.2,0.4
5,0.4,2.0
5,0.6,3.5
5,0.8,1.5
5,1.0,2.7
6,0.0,0.0
6,0.2,1.1
6,0.4,2.2
6,0.6,2.5
6,0.8,1.9000000000000001
6,1.0,1.9000000000000001
7,0.0,0.0
7,0.2,1.3
7,0.4,2.6
7,0.6,2.3000000000000003
7,0.8,2.7
7,1.0,1.2000000000000002
8,0.0,0.0
8,0.2,1.3
8,0.4,3.2
8,0.6,2.2
8,0.8,0.5
8,1.0,0.5
9,0.0,0.0
9,0.2,2.6
9,0.4,1.8
9,0.6,0.8
9,0.8,0.8
9,1.0,0.2
10,0.0,0.0
10,0.2,1.8
10,0.4,1.2000000000000002
10,0.6,0.30000000000000004
10,0.8,0.1
10,1.0,0.1
11,0.0,0.0
11,0.2,1.6
11,0.4,0.6000000000000001
11,0.6,0.30000000000000004
11,0.8,0.1
11,1.0,0.0
12,0.0,0.0
12,0.2,1.5
12,0.4,0.2
12,0.6,0.0
12,0.8,0.0
12,1.0,0.0
13,0.0,0.0
13,0.2,1.4000000000000001
13,0.4,0.2
13,0.6,0.1
13,0.8,0.0
13,1.0,0.0
14,0.0,0.0
14,0.2,1.0
14,0.4,0.0
14,0.6,0.0
14,0.8,0.0
14,1.0,0.0
15,0.0,0.0
15,0.2,0.8
15,0.4,0.0
15,0.6,0.0
15,0.8,0.0
15,1.0,0.0
16,0.0,0.0
16,0.2,0.2
16,0.4,0.0
16,0.6,0.0
16,0.8,0.0
16,1.0,0.0
17,0.0,0.0
17,0.2,0.2
17,0.4,0.0
17,0.6,0.0
17,0.8,0.0
17,1.0,0.0
18,0.0,0.0
18,0.2,0.0
18,0.4,0.0
18,0.6,0.0
18,0.8,0.0
18,1.0,0.0
19,0.0,0.0
19,0.2,0.0
19,0.4,0.0
19,0.6,0.0
19,0.8,0.0
19,1.0,0.0
20,0.0,0.0
20,0.2,0.0
20,0.4,0.0
20,0.6,0.0
20,0.8,0.0
20,1.0,0.0
